SESSION_START;2532246048494289747;1681851039;
START_LEVEL;2532246048494289747;1681851040;1;
LANDING_EVENT;2532246048494289747;1681851041;0;-5,017658;
ARRIVE_NEW_ZONE;2532246048494289747;1681851041;1;
THROW_HOOK;2532246048494289747;1681851069;0,1003832;-4,505886;-13,55011;4,938828;2;
HIT_HOOK;2532246048494289747;1681851069;0,1003832;-5,005886;-7,401155;5,62083;
THROW_HOOK;2532246048494289747;1681851070;-10,17366;8,962454;-14,2784;11,13512;1;
HIT_HOOK;2532246048494289747;1681851070;-10,17366;8,462454;-0,8838263;0,9678144;
LANDING_EVENT;2532246048494289747;1681851072;-14,71903;10,99026;
THROW_HOOK;2532246048494289747;1681851072;-14,15097;11,49028;-4,273937;20,51209;2;
HIT_HOOK;2532246048494289747;1681851072;-14,15097;10,99028;7,383499;7,244172;
THROW_HOOK;2532246048494289747;1681851073;-2,51123;23,27895;0,05749799;11,50719;1;
LANDING_EVENT;2532246048494289747;1681851074;0,8362845;18,99025;
THROW_HOOK;2532246048494289747;1681851074;0,8362845;19,49027;0,01916599;29,74913;2;
HIT_HOOK;2532246048494289747;1681851074;0,8362845;18,99028;-0,63519;8,474739;
THROW_HOOK;2532246048494289747;1681851076;0,2359514;40,49589;3,315656;46,54591;1;
HIT_HOOK;2532246048494289747;1681851076;0,2359514;39,99589;2,268234;4,95591;
DEATH;2532246048494289747;1681851078;FELL;0;22,91654;1;
LANDING_EVENT;2532246048494289747;1681851078;0;-5;
THROW_HOOK;2532246048494289747;1681851080;-2,942128;-4,528626;-9,027015;5,938766;2;
THROW_HOOK;2532246048494289747;1681851081;-2,942128;-4,509713;-8,605371;3,176862;2;
HIT_HOOK;2532246048494289747;1681851081;-2,942128;-5,009713;-4,152131;6,135583;
THROW_HOOK;2532246048494289747;1681851082;-6,188181;10,49268;-7,723752;19,00993;1;
LANDING_EVENT;2532246048494289747;1681851084;-10,68352;2,99026;
THROW_HOOK;2532246048494289747;1681851084;-10,68352;3,49027;-11,97852;14,95604;2;
HIT_HOOK;2532246048494289747;1681851084;-10,68352;2,990284;-0,5611563;5,468395;
THROW_HOOK;2532246048494289747;1681851086;-0,1500053;20,79788;0,2874838;30,12208;1;
HIT_HOOK;2532246048494289747;1681851086;-0,1500053;20,29788;0,2812089;6,493406;
LANDING_EVENT;2532246048494289747;1681851087;9,406058;38,99025;
THROW_HOOK;2532246048494289747;1681851088;9,21532;39,48439;1,974061;47,27987;2;
HIT_HOOK;2532246048494289747;1681851088;9,21532;38,99018;-6,125238;7,088272;
THROW_HOOK;2532246048494289747;1681851089;-4,671964;51,77229;-9,410327;54,60183;1;
HIT_HOOK;2532246048494289747;1681851089;-4,671964;51,27229;-0,8585687;1,012699;
DEATH;2532246048494289747;1681851091;FELL;0;38,47176;1;
LANDING_EVENT;2532246048494289747;1681851091;0;-5;
THROW_HOOK;2532246048494289747;1681851094;-5,225318;-4,52855;-9,486989;5,28454;2;
HIT_HOOK;2532246048494289747;1681851094;-5,225318;-5,01054;-1,99171;5,068176;
LANDING_EVENT;2532246048494289747;1681851095;-12,87945;10,99026;
THROW_HOOK;2532246048494289747;1681851095;-7,484221;14,46543;-1,820736;22,8496;2;
HIT_HOOK;2532246048494289747;1681851095;-7,484221;13,96543;1,119512;2,157314;
THROW_HOOK;2532246048494289747;1681851096;-1,432737;25,18803;1,015779;29,81331;1;
HIT_HOOK;2532246048494289747;1681851096;-1,432737;24,68803;0,9357271;2,267601;
LANDING_EVENT;2532246048494289747;1681851098;10,35299;38,99025;
THROW_HOOK;2532246048494289747;1681851098;9,10516;39,47262;-0,8624529;47,93736;2;
HIT_HOOK;2532246048494289747;1681851098;9,10516;38,99015;-6,860078;6,308205;
THROW_HOOK;2532246048494289747;1681851099;-4,478988;49,24182;-5,615532;54,32993;1;
HIT_HOOK;2532246048494289747;1681851099;-4,478988;48,74182;-0,6540012;3,427845;
LANDING_EVENT;2532246048494289747;1681851100;5,272354;62,99026;
THROW_HOOK;2532246048494289747;1681851101;5,272354;63,49028;11,86353;71,43899;2;
HIT_HOOK;2532246048494289747;1681851101;5,272354;62,99028;3,829865;5,118652;
THROW_HOOK;2532246048494289747;1681851101;5,817434;73,27948;1,782404;78,09297;1;
HIT_HOOK;2532246048494289747;1681851101;5,817434;72,77948;-2,569666;3,56543;
LANDING_EVENT;2532246048494289747;1681851103;14,1801;76,99024;
THROW_HOOK;2532246048494289747;1681851103;14,66929;77,49026;13,85676;89,48577;2;
HIT_HOOK;2532246048494289747;1681851103;14,66929;76,99026;-0,405488;6,486267;
LANDING_EVENT;2532246048494289747;1681851103;14,10476;84,74647;
ARRIVE_NEW_ZONE;2532246048494289747;1681851104;2;
LANDING_EVENT;2532246048494289747;1681851104;-3,080286;92,99024;
THROW_HOOK;2532246048494289747;1681851105;1,168129;93,10181;6,803802;101,5762;2;
HIT_HOOK;2532246048494289747;1681851105;1,168129;92,60181;2,215012;3,830719;
THROW_HOOK;2532246048494289747;1681851106;0,988819;108,177;2,357374;116,8008;1;
HIT_HOOK;2532246048494289747;1681851106;0,988819;107,677;0,1567346;1,48764;
LANDING_EVENT;2532246048494289747;1681851108;8,79003;122,9902;
THROW_HOOK;2532246048494289747;1681851109;2,509067;126,4011;-4,388931;133,1458;2;
HIT_HOOK;2532246048494289747;1681851109;2,509067;125,9011;-3,575027;3,995575;
LANDING_EVENT;2532246048494289747;1681851111;-5,072762;130,9902;
THROW_HOOK;2532246048494289747;1681851112;0,2817409;134,5243;2,510699;143,9556;2;
HIT_HOOK;2532246048494289747;1681851112;0,2817409;134,0243;1,380002;6,339142;
THROW_HOOK;2532246048494289747;1681851113;8,528793;152,2187;10,86692;158,3897;1;
HIT_HOOK;2532246048494289747;1681851113;8,528793;151,7187;0,354311;1,435135;
LANDING_EVENT;2532246048494289747;1681851114;9,479609;162,5609;
LANDING_EVENT;2532246048494289747;1681851115;4,835236;162,9902;
